respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.1897885617045919,0.6399699799504346
26708,0.17150735693173874,0.5426070643761064
26709,0.02112602628972754,0.4655063813602766
26710,0.28208657324062053,0.430794421938099
26711,0.38102776930858445,0.37720169843325946
26712,0.37211732508810536,0.5829734586420319
26713,0.30127166415943146,0.24778227024942442
26714,0.1430137206282197,0.46860439640992135
26715,0.27084794210335283,0.3007900593635073
26716,0.30546719106011394,0.8233270299999593
26717,0.2690868230657882,0.6219097078758394
26718,0.1442329444336007,0.43279061681404557
26719,0.25568261265493686,0.4584479161906364
26720,0.19613058449716944,0.4983478720807429
26721,0.6863527495174291,0.6850853061981602
26722,0.17346745505365563,0.5643180846547793
26723,0.41847045389677984,0.5956277900989422
26724,0.33500637583824694,0.25060539889587097
26725,0.4732882470269127,0.24621812037597252
26726,0.2831008391809029,0.2787733820980396
26727,0.11965394842699237,0.5906479525048329
26728,-0.03599911743924866,0.39692123367579607
26729,0.05188667828536489,0.3070625372468356
26730,0.2262843207202221,0.40903478023592255
26731,0.4715317661681606,0.5471424439390792
26732,0.6278850343835246,0.45260680630212247
26733,0.4866120407288298,0.4158397888281247
26734,0.39793853945809743,0.5434312978202168
26735,-0.018687059256396577,0.21309602698259372
26736,0.07790350998625584,0.5097449600287013
26737,0.44613950353972465,0.6975940728846275
26738,0.2957041656243181,0.2276683062411512
26739,0.1109614563639083,0.3539289931622831
26740,0.046202125246881554,0.18600285867428917
26741,0.20757338285710725,0.4267201602840566
26742,0.011830761490382646,0.37341263027474664
26743,0.033820551348450245,0.39616974172401953
26744,0.17069135782816858,0.31374229574104895
26745,0.0007872613278441798,0.36674994238040864
26746,0.35336587564996697,0.6880239543494926
26747,0.02159321249539159,0.1976433958132896
26748,0.25856424115246507,0.6594444226690543
26749,-0.06892576060147165,0.2065802055680705
26750,0.26968352053797606,0.2705839455380868
26751,0.1581228435431441,0.5914515491260172
26752,0.31057942754986495,0.7542794533696495
26753,0.08747942507109077,0.2331804583754778
26754,0.652803767412885,0.6296265594898915
26755,0.34638764472165523,0.5573038079824776
26756,0.5701716210543452,0.5223046585359187
26757,0.2846583011660867,0.36508724582125474
26758,0.654670846136239,0.7323077145569374
26759,0.15822649851663292,0.15453548862782146
26760,0.33915216858681374,0.9473985185316194
26761,0.7587104793567733,0.4216984143702826
26762,0.2697534542212183,0.6349716469166313
26763,0.4054325002599757,0.2597241043415961
26764,0.35525036708730384,0.1404651728016626
26765,0.1805087580722943,0.42255989450595416
26766,0.041570319185858406,0.4327439080673714
26767,0.5706091931064972,0.4132265198674024
26768,0.25902646792167067,0.31028672579772404
26769,0.38050212240537296,0.6840606516158444
26770,0.19662740520119976,0.10251946063835582
26771,0.22939406052633837,0.2718665578890197
26772,0.40667448643225773,0.48723743797751135
26773,0.09276915398521193,0.6355462644120706
26774,0.608617028104307,0.8882864853594272
26775,0.08568637907729515,0.16090489289053028
26776,0.2918160761908929,0.25575455735308195
26777,-0.028086720660654985,0.26363587950723405
26778,0.14474649185980806,0.2311664559852796
26779,0.285871969788561,0.6863975575183003
26780,0.05424461455762836,0.3365218047381596
26781,0.2939315728552299,0.31514701323390515
26782,0.07892643367630539,0.5691944824173597
26783,0.13294972990585435,0.3995329166924104
26784,0.34909127982798493,0.20921759688031633
26785,0.6801070108450451,0.5296153538510874
26786,-0.1466076974390691,0.43891243576354166
26787,0.2693797325874841,0.6254281843448362
26788,0.3909869193758758,0.5878253712695999
26789,0.3381814385552675,0.4901810790904316
26790,0.05944987220417175,0.3826359325121734
26791,0.2079663739757976,0.5711091887103776
26792,0.16415068095989654,0.4443849479952559
26793,0.36737491856118476,0.5988715545911756
26794,0.5155203464715207,0.5261094580391038
26795,0.3977218997206355,0.24560435087320615
26796,0.471099854059716,0.5922108772559921
26797,0.23724599476799169,0.4722806855010227
26798,-0.17411205901031424,0.17493888306430672
26799,0.29788626402294754,0.7931195518744435
26800,0.21910751493575625,0.5404870915948149
26801,0.6965138307074297,0.6725417906716712
26802,0.271262224736567,0.5644689392831213
26803,0.07535941376775926,0.5865607595036102
26804,0.11379881881262868,0.4164917255553574
26805,0.4136289501745495,0.5362712173191684
26806,0.024181275357944176,0.2302674538919335
26807,0.3004643336007799,0.718691626024202
26808,0.22032509305817438,0.02299880068538057
26809,0.38023036728086723,0.3355726576430549
26810,-0.016048874225010334,0.38712009678409076
26811,0.33140105347002635,0.5886160516843832
26812,0.03697586305379874,0.6537434762617493
26813,0.1535576269529647,0.11638208136315226
26814,0.44178394542437904,0.9247697202136735
26815,0.1886919031018412,0.40285256635643885
26816,0.05498649181486781,0.3001503036950711
26817,0.22655039755970402,0.22987253718118023
26818,0.3977469483001609,0.5275093251844013
26819,0.4330681885176042,0.3652182692359375
26820,0.09889703547920947,0.4460517516863343
26821,-0.0882937236428657,0.37546206249996367
26822,0.2804155238599218,0.3810349440272567
26823,0.6702314871220891,0.5738600802769155
26824,0.3785242247925331,0.6058042783982285
26825,0.25885004325736205,0.02039427630359414
26826,-0.021959081520273926,0.5331009190504397
26827,0.3229286315656643,0.5754731856357328
26828,0.2520929589560381,0.3786231007025019
26829,0.2528815254720912,0.4972459503288768
26830,0.5541719419204196,0.21364267934656989
26831,0.46895441175701436,0.6720935650356645
26832,0.37338978716495275,0.7678403010996273
26833,0.4613195836393809,0.705835593983303
26834,0.20501136989270996,0.0677972903059339
26835,0.38525784909160155,0.1798127008445904
26836,0.1265715945682755,0.6580305486231968
26837,0.8200419204727213,0.8235346090826736
26838,-0.06306300963835543,0.4427018949475106
26839,0.2540497995173288,0.4910940413266592
26840,0.008449223634240055,0.4224575952830547
26841,0.1830426088081373,0.2491666067629393
26842,0.07263033996617116,0.3696008029062128
26843,0.4586270600924097,0.8161031594253327
26844,0.191626065323066,0.3036029879043059
26845,-0.12781090232250325,0.29327543033231473
26846,0.4915660263892636,0.6125387641115452
26847,0.09197681728209975,0.36133523375302806
26848,0.034149427788037645,0.49293515823370715
26849,0.5791624498957824,0.36593049623283613
26850,0.268903496203779,0.5138190602499285
26851,0.12481409708684996,0.4745512083027693
26852,0.34039969577942286,0.5544525844113058
26853,0.011098744256199666,0.6073359026479276
26854,-0.00829751864326761,0.42764647337924405
26855,0.364514247430701,0.45078587660560804
26856,0.4190682951728155,0.7130795898607813
26857,0.1040378684633837,0.4551395947760645
26858,0.0027648699510751107,0.371125631034825
26859,0.14338597395100916,0.5737731918026092
26860,0.3005728772043144,0.9111195245453829
26861,0.5681220386698567,0.9200409981336348
26862,0.09601118923079519,0.43422629037788446
26863,-0.0765826615710532,0.2782277574413657
26864,0.15124939127348241,0.4027728120052045
26865,0.337225050736701,0.6813472721415703
26866,0.13247236344573574,0.6030700758075349
26867,-0.026750777612522314,0.47333258122541716
26868,0.2305361440112434,0.5406312835658666
26869,0.28841414550312444,0.4951457618816437
26870,0.311165014269016,0.49503597226220397
26871,0.04973256100888712,0.2586018670939043
26872,-0.01200856554656432,0.24780460200815246
26873,-0.12503295690413402,0.010368908957268719
26874,-0.24825240461121756,0.1355433435473511
26875,0.26528836017207175,0.28136720052297687
26876,0.13695792922850913,0.6840692617139057
26877,-0.1258225103541487,0.2581059832027819
26878,0.06486848804059137,0.3654819512812331
26879,0.7818667472897021,0.4085247743081572
26880,0.052531990534193634,0.19154625164386918
26881,0.22000862017578965,0.15044595882640815
26882,0.33576574619473265,0.39161270364688844
26883,0.2236473962241226,0.255404276669928
26884,0.656600257725175,0.20478195464654125
26885,0.6888792768874665,0.6004730101561664
26886,0.3551484819534729,0.6110876616810004
26887,0.28528932193567663,0.45305949487870545
26888,0.41564898034930997,0.29549716670248055
26889,-0.11210287360866605,-0.13835784740080226
26890,0.43088105147687594,0.724941319693579
26891,0.11315879269311788,0.5197259766230962
26892,0.044585730851761374,0.4959123352572117
26893,0.20184659034818686,0.31274029384768265
26894,0.12027039713504661,0.522237991203448
26895,0.34037447947253596,0.8019723964513064
26896,0.15180807331764656,0.5378299089830274
26897,0.4916032804717033,0.6768987480447455
26898,0.3822438456503139,0.757450934879143
26899,0.14798069207741885,0.5026193889062903
26900,-0.03183888445463218,0.27405934619499916
26901,0.215306616657953,0.8044092441596341
26902,0.13071376943771731,0.4116306538953251
